Date,Open,High,Low,Close,Adj Close,Volume
2018-12-27,32850.000000,33500.000000,32350.000000,33050.000000,28900.019531,731053
2018-12-28,33200.000000,33900.000000,33150.000000,33700.000000,29468.400391,652573
2019-01-02,33450.000000,33650.000000,32300.000000,32800.000000,28681.410156,478590
2019-01-03,32600.000000,33100.000000,31800.000000,32850.000000,28725.130859,924910
2019-01-04,33100.000000,35000.000000,32900.000000,34850.000000,30473.998047,1573507
2019-01-07,34850.000000,35000.000000,34200.000000,34200.000000,29905.615234,773118
2019-01-08,34900.000000,34900.000000,33550.000000,33800.000000,29555.841797,1013744
2019-01-09,33900.000000,35000.000000,33800.000000,34800.000000,30430.277344,840360
2019-01-10,34300.000000,34600.000000,33850.000000,34300.000000,29993.062500,1015367
2019-01-11,34000.000000,34300.000000,33550.000000,33950.000000,29687.007813,916827
2019-01-14,33600.000000,34300.000000,33500.000000,33800.000000,29555.841797,728776
2019-01-15,33800.000000,34900.000000,33800.000000,34550.000000,30211.669922,1033143
2019-01-16,34300.000000,34900.000000,33950.000000,34850.000000,30473.998047,607592
2019-01-17,34250.000000,35000.000000,34250.000000,34950.000000,30561.445313,676580
2019-01-18,34950.000000,35800.000000,34750.000000,35800.000000,31304.708984,1154258
2019-01-21,35800.000000,36450.000000,35100.000000,35350.000000,30911.214844,857815
2019-01-22,35000.000000,35850.000000,35000.000000,35850.000000,31348.431641,978878
2019-01-23,36050.000000,36550.000000,35800.000000,36550.000000,31960.533203,1134420
2019-01-24,36000.000000,36650.000000,35400.000000,36650.000000,32047.976563,1262251
2019-01-25,35800.000000,36550.000000,35600.000000,35750.000000,31260.986328,1408928
2019-01-28,35500.000000,35850.000000,34600.000000,34850.000000,30473.998047,1277309
2019-01-29,34350.000000,35000.000000,34100.000000,34950.000000,30561.445313,1002443
2019-01-30,35050.000000,36200.000000,34700.000000,36150.000000,31610.761719,1195389
2019-01-31,36600.000000,36650.000000,36000.000000,36350.000000,31785.650391,1088374
2019-02-01,36350.000000,36600.000000,35600.000000,35850.000000,31348.431641,829979
2019-02-07,36500.000000,36600.000000,35950.000000,36100.000000,31567.041016,818674
2019-02-08,36300.000000,36450.000000,35950.000000,36400.000000,31829.369141,630740
2019-02-11,36600.000000,37200.000000,36000.000000,37000.000000,32354.031250,1275069
2019-02-12,37150.000000,37300.000000,36800.000000,37000.000000,32354.031250,1150518
2019-02-13,36650.000000,37050.000000,35650.000000,35750.000000,31260.986328,1173347
2019-02-14,35400.000000,36500.000000,35050.000000,36500.000000,31916.814453,1334529
2019-02-15,36350.000000,36350.000000,35800.000000,35900.000000,31392.152344,441673
2019-02-18,35500.000000,35950.000000,34750.000000,35600.000000,31129.826172,729565
2019-02-19,35650.000000,35650.000000,34850.000000,35150.000000,30736.328125,676022
2019-02-20,35300.000000,36500.000000,34800.000000,35200.000000,30780.050781,1273900
2019-02-21,35200.000000,35750.000000,35150.000000,35600.000000,31129.826172,762715
2019-02-22,35750.000000,35900.000000,35300.000000,35600.000000,31129.826172,428309
2019-02-25,35500.000000,36000.000000,35050.000000,35700.000000,31217.269531,507623
2019-02-26,36000.000000,36950.000000,35800.000000,36400.000000,31829.369141,1035478
2019-02-27,36950.000000,37350.000000,36900.000000,36950.000000,32310.308594,933429
2019-02-28,36900.000000,37200.000000,36550.000000,36550.000000,31960.533203,1085620
2019-03-04,36500.000000,36500.000000,35200.000000,35450.000000,30998.660156,1298586
2019-03-05,35000.000000,35100.000000,33800.000000,34850.000000,30473.998047,1350646
2019-03-06,35100.000000,35150.000000,34300.000000,34500.000000,30167.945313,1004691
2019-03-07,34700.000000,35050.000000,33650.000000,34200.000000,29905.615234,1280662
2019-03-08,34200.000000,34300.000000,33650.000000,33650.000000,29424.679688,728590
2019-03-11,33500.000000,34050.000000,33350.000000,33900.000000,29643.289063,681839
2019-03-12,34150.000000,34800.000000,34050.000000,34600.000000,30255.390625,852145
2019-03-13,34850.000000,34900.000000,33550.000000,34350.000000,30036.783203,826891
2019-03-14,34800.000000,34800.000000,33400.000000,34000.000000,29730.730469,1423619
2019-03-15,33850.000000,34250.000000,33550.000000,33750.000000,29512.123047,1742905
2019-03-18,33900.000000,34950.000000,33800.000000,34700.000000,30342.832031,631922
2019-03-19,34450.000000,34900.000000,34000.000000,34700.000000,30342.832031,681154
2019-03-20,34700.000000,34950.000000,34200.000000,34850.000000,30473.998047,525577
2019-03-21,34750.000000,35200.000000,33800.000000,34200.000000,29905.615234,761526
2019-03-22,34200.000000,34750.000000,33900.000000,34500.000000,30167.945313,888498
2019-03-25,34400.000000,34400.000000,33750.000000,33800.000000,29555.841797,398608
2019-03-26,34850.000000,34900.000000,34000.000000,34100.000000,29818.173828,659015
2019-03-27,34600.000000,34800.000000,34100.000000,34600.000000,30255.390625,767613
2019-03-28,34700.000000,34850.000000,34250.000000,34450.000000,30124.222656,852647
2019-03-29,34750.000000,35750.000000,34750.000000,35350.000000,30911.214844,1421258
2019-04-01,35500.000000,35850.000000,35100.000000,35450.000000,30998.660156,552066
2019-04-02,35350.000000,35600.000000,34850.000000,35100.000000,30692.605469,980384
2019-04-03,34850.000000,36500.000000,34850.000000,36400.000000,31829.369141,1642882
2019-04-04,36500.000000,37800.000000,36400.000000,37400.000000,32703.804688,1782979
2019-04-05,37800.000000,37850.000000,37500.000000,37700.000000,32966.132813,960036
2019-04-08,37600.000000,39000.000000,37550.000000,39000.000000,34102.894531,1553562
2019-04-09,39050.000000,39300.000000,38650.000000,38950.000000,34059.179688,1140676
2019-04-10,39050.000000,40100.000000,39050.000000,40100.000000,35064.773438,2035437
2019-04-11,40150.000000,40750.000000,40000.000000,40550.000000,35458.265625,1766103
2019-04-12,40500.000000,40850.000000,39850.000000,40600.000000,35501.992188,1470765
2019-04-15,40300.000000,40950.000000,40150.000000,40650.000000,35545.714844,960377
2019-04-16,40650.000000,42000.000000,40400.000000,41800.000000,36551.308594,2199769
2019-04-17,42050.000000,42300.000000,41600.000000,42300.000000,36988.527344,1655846
2019-04-18,42350.000000,43550.000000,42250.000000,42550.000000,37207.132813,2138419
2019-04-19,43000.000000,43250.000000,42200.000000,42500.000000,37163.414063,802503
2019-04-22,41900.000000,42950.000000,41900.000000,42800.000000,37425.742188,827378
2019-04-23,43000.000000,43250.000000,42650.000000,43150.000000,37731.792969,1003963
2019-04-24,43300.000000,43900.000000,43200.000000,43900.000000,38387.617188,2302920
2019-04-25,44000.000000,44150.000000,42050.000000,42450.000000,37119.695313,3277505
2019-04-26,41700.000000,42950.000000,41650.000000,42950.000000,37556.910156,2019131
2019-04-29,43150.000000,45300.000000,43100.000000,45250.000000,39568.101563,2828522
2019-04-30,45350.000000,46300.000000,44600.000000,45250.000000,39568.101563,2337864
2019-05-02,44700.000000,45400.000000,44150.000000,44900.000000,39262.050781,1357851
2019-05-03,44900.000000,44900.000000,42900.000000,43300.000000,37862.960938,2123014
2019-05-07,42900.000000,44550.000000,42900.000000,44300.000000,38737.390625,2124070
2019-05-08,43750.000000,44400.000000,43450.000000,44000.000000,38475.062500,1461288
2019-05-09,43850.000000,43900.000000,42800.000000,43100.000000,37688.074219,1834099
2019-05-10,43300.000000,43800.000000,41600.000000,42350.000000,37032.246094,1529124
